strategy,step,queries,val_auc,test_auc,n_labels
random,0,0,0.8939731505284204,0.8961867192636424,100
random,1,10,0.8283823669427782,0.7939458689458689,110
random,2,20,0.9261734742454537,0.9306103440718825,120
random,3,30,0.8986765685994478,0.9093195266272189,130
random,4,40,0.939674378748929,0.9161954854262547,140
random,5,50,0.8738265257545463,0.8896559281174667,150
random,6,60,0.8296296296296296,0.8430144641683104,160
random,7,70,0.9472531657621632,0.9369384177076485,170
random,8,80,0.954965248024374,0.9175816348893273,180
random,9,90,0.8756736170617918,0.9016655708963401,190
random,10,100,0.9134532990574121,0.9144751260135876,200
random,11,110,0.9777016090640768,0.9432938856015779,210
random,12,120,0.9823859849566791,0.9466140696909927,220
random,13,130,0.983909359230696,0.9503889984659215,230
random,14,140,0.9782347900599829,0.9529037913653299,240
random,15,150,0.9775873559935256,0.9483946964716194,250
random,16,160,0.9761972769684852,0.9486960333114179,260
random,17,170,0.9760639817195088,0.9471729125575279,270
random,18,180,0.9835094734837665,0.9537913653298268,280
random,19,190,0.9329524897648291,0.9318211702827087,290
random,20,200,0.9870894030277063,0.9516326977865439,300
margin,0,0,0.8939731505284204,0.896192198115275,100
margin,1,10,0.874074074074074,0.8890203813280737,110
margin,2,20,0.8840140912120347,0.8919351303966689,120
margin,3,30,0.8583261925164241,0.8848674117904887,130
margin,4,40,0.7897553080072361,0.7833552487398642,140
margin,5,50,0.9212415500333238,0.8887026079333771,150
margin,6,60,0.8523279063124821,0.8642504930966468,160
margin,7,70,0.8746643816052557,0.8956936226166996,170
margin,8,80,0.9492906788536608,0.9337058952443568,180
margin,9,90,0.9413691326287728,0.9233289502520272,190
margin,10,100,0.9109016471484337,0.9204251588866973,200
margin,11,110,0.9631914691040656,0.9387793118562349,210
margin,12,120,0.8967533085785013,0.9108152531229454,220
margin,13,130,0.9643911263448539,0.9365768134998904,230
margin,14,140,0.9748643244787203,0.9438965592811748,240
margin,15,150,0.9770351328191945,0.9466031119877274,250
margin,16,160,0.9838331905169951,0.9596975673898751,260
margin,17,170,0.9916214414929068,0.956037694499233,270
margin,18,180,0.9898124345425117,0.946011396011396,280
margin,19,190,0.9886508616585737,0.9407516984440062,290
margin,20,200,0.9905169951442445,0.9421542844619768,300
entropy,0,0,0.8939731505284204,0.8961867192636424,100
entropy,1,10,0.874074074074074,0.8890094236248083,110
entropy,2,20,0.8840140912120347,0.8919351303966689,120
entropy,3,30,0.8583261925164241,0.8848674117904887,130
entropy,4,40,0.7897743501856612,0.7833552487398642,140
entropy,5,50,0.9261734742454536,0.8953648915187377,150
entropy,6,60,0.85305150909264,0.865499671268902,160
entropy,7,70,0.8667999619156432,0.891606399298707,170
entropy,8,80,0.9486051604303533,0.9313499890422967,180
entropy,9,90,0.9456917071312958,0.9294323909708526,190
entropy,10,100,0.9155003332381225,0.9188910804295419,200
entropy,11,110,0.9068837475007139,0.9135108481262327,210
entropy,12,120,0.8627820622679235,0.8682226605303528,220
entropy,13,130,0.9058173855089023,0.9003835196142889,230
entropy,14,140,0.9637436922783966,0.9371849660311199,240
entropy,15,150,0.9665238503284777,0.935097523559062,250
entropy,16,160,0.9675711701418642,0.9303418803418804,260
entropy,17,170,0.9724650099971438,0.9478084593469209,270
entropy,18,180,0.9817575930686471,0.9512272627657243,280
entropy,19,190,0.9860230410358944,0.9576923076923076,290
entropy,20,200,0.9849947634009331,0.949364453210607,300
bald,0,0,0.8939731505284204,0.8961867192636424,100
bald,1,10,0.7965152813481862,0.7825005478851634,110
bald,2,20,0.916309625821194,0.928424282270436,120
bald,3,30,0.9111491954679615,0.9074402805172036,130
bald,4,40,0.9137008473769399,0.9062952005259697,140
bald,5,50,0.9045796439112634,0.9129246110015341,150
bald,6,60,0.8119204036941827,0.789014902476441,160
bald,7,70,0.902370751213939,0.9115713346482577,170
bald,8,80,0.8727411215843093,0.8707867630944555,180
bald,9,90,0.9460915928782252,0.931054131054131,190
bald,10,100,0.9726173474245453,0.9488056103440718,200
bald,11,110,0.9677425497476911,0.9454415954415955,210
bald,12,120,0.9726363896029706,0.9502301117685732,220
bald,13,130,0.9689993335237551,0.9512272627657242,230
bald,14,140,0.9731314862420261,0.9495233399079552,240
bald,15,150,0.9784252118442349,0.9532763532763532,250
bald,16,160,0.9831667142721127,0.9571553802323033,260
bald,17,170,0.9906693325716462,0.9566622835853605,270
bald,18,180,0.9853184804341617,0.9567499452114837,280
bald,19,190,0.9881367228410931,0.9594455402147709,290
bald,20,200,0.8936303913167666,0.9094345825115056,300
badge,0,0,0.8939731505284204,0.896192198115275,100
badge,1,10,0.8847757783490433,0.886204251588867,110
badge,2,20,0.9022564981433876,0.9154613193074732,120
badge,3,30,0.8990859754355898,0.9045529257067719,130
badge,4,40,0.8533180995905931,0.8330046022353714,140
badge,5,50,0.9051128249071694,0.8983125136971291,150
badge,6,60,0.9580691231076834,0.9370753889984659,160
badge,7,70,0.974654860516043,0.9401271093578785,170
badge,8,80,0.9837951061601448,0.9480166557089633,180
badge,9,90,0.9152147005617443,0.9083607275914969,190
badge,10,100,0.9841378653717986,0.9529476221783915,200
badge,11,110,0.9872607826335333,0.9544488275257506,210
badge,12,120,0.9871846139198324,0.9521257944334869,220
badge,13,130,0.9892792535466057,0.9506574621959237,230
badge,14,140,0.9844615824050271,0.9582292351523121,240
badge,15,150,0.9881557650195183,0.949638395792242,250
badge,16,160,0.9848233837951061,0.9440390094236248,260
badge,17,170,0.9908978387127487,0.9533201840894149,270
badge,18,180,0.9894696753308578,0.9388779311856235,280
badge,19,190,0.9897172236503856,0.9501862809555117,290
badge,20,200,0.9909168808911739,0.9460552268244575,300
DQN,0,0,0.8939731505284204,0.896192198115275,100
DQN,1,10,0.9530610301818527,0.9231043173350866,110
DQN,2,20,0.9819860992097497,0.9540817444663598,120
DQN,3,30,0.9863086737122727,0.9426419022572868,130
DQN,4,40,0.9857564505379415,0.9529640587332895,140
DQN,5,50,0.9909930496048749,0.9408010081087004,150
DQN,6,60,0.990383699895268,0.9545803199649353,160
DQN,7,70,0.9909549652480244,0.9402586017970632,170
DQN,8,80,0.9915071884223555,0.9083333333333333,180
DQN,9,90,0.993982671617633,0.945359412667105,190
DQN,10,100,0.9924402551651909,0.9466962524654833,200
DQN,11,110,0.99415405122346,0.9535667324128863,210
DQN,12,120,0.9948586118251928,0.9430528161297392,220
DQN,13,130,0.99371608111968,0.937075388998466,230
DQN,14,140,0.9943825573645625,0.9448827525750603,240
DQN,15,150,0.991907074169285,0.9211538461538462,250
DQN,16,160,0.9919642007045606,0.9409270216962525,260
DQN,17,170,0.9923450442730648,0.9455785667324129,270
DQN,18,180,0.9943254308292869,0.9519943019943019,280
DQN,19,190,0.9943063886508617,0.9453813280736357,290
DQN,20,200,0.994420641721413,0.9561198772737234,300
Double DQN,0,0,0.8939731505284204,0.896192198115275,100
Double DQN,1,10,0.9531848043416167,0.9230330922638615,110
Double DQN,2,20,0.982290774064553,0.9539447731755424,120
Double DQN,3,30,0.9827097019899076,0.9565910585141354,130
Double DQN,4,40,0.9912215557459774,0.9424884944115715,140
Double DQN,5,50,0.9905550795010949,0.9390696909927679,150
Double DQN,6,60,0.9905360373226697,0.9523120753889985,160
Double DQN,7,70,0.9918118632771589,0.903210607056761,170
Double DQN,8,80,0.9909549652480245,0.9373438527284681,180
Double DQN,9,90,0.9955250880700752,0.9398641244795091,190
Double DQN,10,100,0.9947253165762163,0.9450197238658777,200
Double DQN,11,110,0.9948586118251929,0.9365439403900943,210
Double DQN,12,120,0.9947253165762162,0.9505369274600044,220
Double DQN,13,130,0.9950871179662953,0.9442033749726058,230
Double DQN,14,140,0.9949157383604683,0.9515012053473593,240
Double DQN,15,150,0.9952013710368466,0.9250438308130617,250
Double DQN,16,160,0.9955631724269257,0.9572923515231208,260
Double DQN,17,170,0.9964391126344854,0.9569581415735262,270
Double DQN,18,180,0.9958202418356661,0.9166283147052378,280
Double DQN,19,190,0.9948205274683425,0.9501260135875521,290
Double DQN,20,200,0.9964581548129106,0.9321005917159764,300
Dueling DQN,0,0,0.8939731505284204,0.896192198115275,100
Dueling DQN,1,10,0.9531752832524041,0.9230604865220249,110
Dueling DQN,2,20,0.9820813101018757,0.9536434363357441,120
Dueling DQN,3,30,0.9854517756831381,0.955692526846373,130
Dueling DQN,4,40,0.9817195087117966,0.9531777339469647,140
Dueling DQN,5,50,0.9863658002475484,0.9533311417926803,150
Dueling DQN,6,60,0.9872607826335332,0.9454963839579225,160
Dueling DQN,7,70,0.9897933923640865,0.948805610344072,170
Dueling DQN,8,80,0.9863277158906979,0.9281065088757396,180
Dueling DQN,9,90,0.9862705893554223,0.9417872014025861,190
Dueling DQN,10,100,0.9907835856421975,0.9499287749287749,200
Dueling DQN,11,110,0.9912215557459774,0.9565691431076047,210
Dueling DQN,12,120,0.9864134056936115,0.9436774052158667,220
Dueling DQN,13,130,0.9899838141483386,0.9489590181897875,230
Dueling DQN,14,140,0.9910882604970008,0.9543337716414639,240
Dueling DQN,15,150,0.9920213272398363,0.9437595879903572,250
Dueling DQN,16,160,0.9933542797296011,0.9550131492439184,260
Dueling DQN,17,170,0.991811863277159,0.9468003506465046,270
Dueling DQN,18,180,0.9932209844806246,0.9621520929213236,280
Dueling DQN,19,190,0.9923260020946396,0.9394806048652202,290
Dueling DQN,20,200,0.9923831286299153,0.9497041420118344,300
